470001, root, [kworker/3:1-events], 2, kthreadd
470087, root, [kworker/2:4-mm_percpu_wq], 2, kthreadd
470087, root, [kworker/2:4-events], 2, kthreadd
471474, kayn, /usr/libexec/tracker-extract, 3226, systemd
471474, kayn, /usr/libexec/tracker-extract, 3226, systemd
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
461515, root, [kworker/1:2-events], 2, kthreadd
461515, root, [kworker/1:2-mpt_poll_0], 2, kthreadd
461534, root, [kworker/7:2-events], 2, kthreadd
461534, root, [kworker/7:2-mm_percpu_wq], 2, kthreadd
469979, root, [kworker/u256:2-flush-8:0], 2, kthreadd
469979, root, [kworker/u256:2-events_power_efficient], 2, kthreadd
471474, kayn, /usr/libexec/tracker-extract, 3226, systemd
471474, kayn, /usr/libexec/tracker-extract, 3226, systemd
3240, kayn, /usr/libexec/tracker-miner-fs, 3226, systemd
3240, kayn, /usr/libexec/tracker-miner-fs, 3226, systemd
424976, root, [kworker/5:4-events], 2, kthreadd
424976, root, [kworker/5:4-mm_percpu_wq], 2, kthreadd
461515, root, [kworker/1:2-mpt_poll_0], 2, kthreadd
461515, root, [kworker/1:2-events], 2, kthreadd
461534, root, [kworker/7:2-mm_percpu_wq], 2, kthreadd
461534, root, [kworker/7:2-events], 2, kthreadd
466189, root, [kworker/6:1-mm_percpu_wq], 2, kthreadd
466189, root, [kworker/6:1-events], 2, kthreadd
469979, root, [kworker/u256:2-events_power_efficient], 2, kthreadd
469979, root, [kworker/u256:2-events_unbound], 2, kthreadd
247814, kayn, /usr/libexec/tracker-store, 3226, systemd
247814, kayn, /usr/libexec/tracker-store, 3226, systemd




3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
